what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1558058744967
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558058747745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558058768471
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558058789594
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558058792221
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558058804580
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558058808838
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1558058833962
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1558058836104
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1558058839528
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558058853663
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558058856418
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558058857436
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558058859685
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558058876670
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558058889674
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1558058901004
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558058933919
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558058934067
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1558058945263
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1558058996201
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1558058999386
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1558058999482
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558059074046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558059138069
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558059147077
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558059149127
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558059159025
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558059163316
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558059168565
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558059173781
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558059180631
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558059184218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558059192507
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558059199162
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558059205574
