what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563126715014
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563126719854
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563126724175
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563126726936
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1563126732183
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1563126738037
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1563126745943
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1563126746247
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1563126746888
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1563126763045
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1563126774566
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1563126774633
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1563126782748
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1563126788543
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1563126791463
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1563126795185
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1563126802185
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1563126807128
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1563126812690
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563126817063
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563126819864
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1563126837429
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563126855983
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563126859888
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563126862656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563126982389
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1563126988817
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1563127001684
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563127003353
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563127009759
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563127010933
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563127236120
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1563127238072
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1563127240005
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1563127243008
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1563127248498
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1563127249205
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563127257676
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563127258987
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1563127284116
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1563127300539
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1563127878725
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1563127906023
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1563128025245
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1563128066026
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1563128071524
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1563128080927
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563128085321
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563128089509
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563128174076
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563128174222
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563128174492
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563128185114
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563128206442
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563128206595
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563128206664
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563128210380
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563128222948
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563128223094
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563128223181
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1563128229528
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1563128229612
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1563128229677
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1563128240088
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1563128243787
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1563128362704
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1563128373877
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1563128376925
